Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,NObeyesdad
Female,21,2,64,yes,no,2,3,Sometimes,no,2,no,0,1,no,Public_Transportation,Normal_Weight
Female,21,2,56,yes,no,3,3,Sometimes,yes,3,yes,3,0,Sometimes,Public_Transportation,Normal_Weight
Male,23,2,77,yes,no,2,3,Sometimes,no,2,no,2,1,Frequently,Public_Transportation,Normal_Weight
Male,27,2,87,no,no,3,3,Sometimes,no,2,no,2,0,Frequently,Walking,Overweight_Level_I
Male,22,2,90,no,no,2,1,Sometimes,no,2,no,0,0,Sometimes,Public_Transportation,Overweight_Level_II
Male,29,2,53,no,yes,2,3,Sometimes,no,2,no,0,0,Sometimes,Automobile,Normal_Weight
Female,23,2,55,yes,yes,3,3,Sometimes,no,2,no,1,0,Sometimes,Motorbike,Normal_Weight
Male,22,2,53,no,no,2,3,Sometimes,no,2,no,3,0,Sometimes,Public_Transportation,Normal_Weight
Male,24,2,64,yes,yes,3,3,Sometimes,no,2,no,1,1,Frequently,Public_Transportation,Normal_Weight
Male,22,2,68,yes,yes,2,3,Sometimes,no,2,no,1,1,no,Public_Transportation,Normal_Weight
Male,26,2,105,yes,yes,3,3,Frequently,no,3,no,2,2,Sometimes,Public_Transportation,Obesity_Type_I
Female,21,2,80,yes,yes,2,3,Frequently,no,2,yes,2,1,Sometimes,Public_Transportation,Overweight_Level_II
Male,22,2,56,no,no,3,3,Sometimes,no,3,no,2,0,Sometimes,Public_Transportation,Normal_Weight
Male,41,2,99,no,yes,2,3,Sometimes,no,2,no,2,1,Frequently,Automobile,Obesity_Type_I
Male,23,2,60,yes,yes,3,1,Sometimes,no,1,no,1,1,Sometimes,Public_Transportation,Normal_Weight
Female,22,2,66,yes,no,3,3,Always,no,2,yes,2,1,Sometimes,Public_Transportation,Normal_Weight
Male,27,2,102,yes,yes,2,1,Sometimes,no,1,no,1,0,Sometimes,Public_Transportation,Overweight_Level_II
Female,29,2,78,no,yes,2,1,Sometimes,no,2,no,0,0,no,Automobile,Obesity_Type_I
Female,30,2,82,yes,yes,3,4,Frequently,yes,1,no,0,0,no,Automobile,Overweight_Level_II
Female,23,2,70,yes,no,2,1,Sometimes,no,2,no,0,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,22,2,80,yes,no,2,3,Sometimes,no,2,no,3,2,no,Walking,Overweight_Level_II
Female,52,2,87,yes,yes,3,1,Sometimes,yes,2,no,0,0,no,Automobile,Obesity_Type_I
Female,22,2,60,yes,yes,3,3,Sometimes,no,2,no,1,0,Sometimes,Automobile,Normal_Weight
Female,22,2,82,yes,yes,1,1,Sometimes,no,2,no,0,2,Sometimes,Public_Transportation,Obesity_Type_I
Male,21,2,68,yes,yes,2,3,Sometimes,no,2,no,0,1,Sometimes,Public_Transportation,Normal_Weight
Male,20,2,50,yes,no,2,4,Frequently,yes,2,no,3,2,no,Public_Transportation,Normal_Weight
Male,21,2,65,yes,yes,2,1,Frequently,no,2,no,1,2,Always,Walking,Normal_Weight
Female,23,2,52,no,yes,2,4,Frequently,no,2,no,2,1,Sometimes,Automobile,Normal_Weight
Male,19,2,76,yes,yes,3,3,Sometimes,no,2,yes,3,1,Sometimes,Public_Transportation,Normal_Weight
Male,23,2,70,no,yes,2,3,Sometimes,no,2,no,2,2,Frequently,Walking,Normal_Weight
Male,29,2,83,no,yes,1,4,Frequently,no,3,no,0,1,no,Motorbike,Overweight_Level_I
Female,31,2,68,yes,no,2,1,Sometimes,no,1,no,1,0,Sometimes,Public_Transportation,Overweight_Level_II
Female,24,2,76,no,no,2,3,Sometimes,no,3,no,1,1,Sometimes,Walking,Normal_Weight
Male,39,2,90,no,no,2,1,Sometimes,no,2,no,0,0,Sometimes,Public_Transportation,Overweight_Level_II
Male,22,2,62,no,yes,2,4,Frequently,no,2,no,2,0,Sometimes,Public_Transportation,Normal_Weight
Female,21,2,65,yes,no,2,3,Sometimes,no,2,no,2,2,Sometimes,Public_Transportation,Overweight_Level_II
Female,22,2,49,no,yes,2,3,Sometimes,no,1,yes,2,0,no,Walking,Normal_Weight
Female,21,2,48,no,yes,2,3,Sometimes,no,1,no,1,0,Sometimes,Public_Transportation,Normal_Weight
Male,23,2,67,yes,yes,2,3,Sometimes,no,2,no,1,1,Sometimes,Public_Transportation,Normal_Weight
Female,21,2,88,yes,yes,2,3,Sometimes,no,3,no,3,0,Sometimes,Public_Transportation,Overweight_Level_II
